delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,8,0.025884700007736683,,0.021215999964624643,0.025884700007736683,1.0007523999665864,1.0007523999665864,1.0340832999791019,2.2926577999605797,space,1.186985399981495,None,2.2932802999857813,3.000224566673084,3.3191342999925837,3.3014393000048585,3.3015005000052042,3.3191342999925837,3.3191342999925837,3.3191342999925837,7.450662599992938,678 ,1,[4.14606229995843],[4.146074999996927],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,0,1,1,6,7.465591399988625,,7.452055800007656,7.465591399988625,8.465894599969033,8.465894599969033,8.465894599969033,8.566895800002385,space,0.08563469996443018,None,8.567638499953318,8.682465966620173,8.994795699953102,8.981377899996005,8.981424099998549,8.994795699953102,8.994795699953102,8.994795699953102,12.032654599985108,6754,1,[3.049283300002571],[3.049291200004518],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,400,unexp,0,2,2,1,12.048021800001152,,12.033488799992483,12.048021800001152,13.047992399951909,13.047992399951909,13.047992399951909,14.066985599987675,space,1.0044879000051878,None,14.067677299957722,14.481215666634187,14.79456339997705,14.781232799985446,14.781279599992558,14.79456339997705,14.79456339997705,14.79456339997705,18.28099519998068,987,1,[3.4974811000283808],[3.497488000022713],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,400,unexp,0,3,3,2,18.29669649997959,,18.28161700000055,18.29669649997959,19.29649039998185,19.29649039998185,19.29649039998185,20.34913319995394,space,1.0410059000132605,None,20.349986899993382,21.063017366632508,21.37564049998764,21.361899099953007,21.361949599988293,21.37564049998764,21.37564049998764,21.37564049998764,25.92966979998164,897,1,[4.565866099961568],[4.565875799977221],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,400,unexp,0,4,4,0,25.945038399950135,,25.930443999997806,25.945038399950135,26.944661899993662,26.944661899993662,26.944661899993662,27.480523799953517,space,0.5178985999664292,None,27.48135249997722,27.594442866630075,27.904971199983265,27.89124129997799,27.89130469999509,27.904971199983265,27.904971199983265,27.904971199983265,33.86127799999667,567,1,[5.967422200017609],[5.967431899975054],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,0,5,5,4,33.87657079997007,,33.862058500002604,33.87657079997007,34.87686819996452,34.87686819996452,34.87686819996452,35.529696899990086,space,0.6384336000191979,None,35.53071159997489,35.94321716664514,36.25496629998088,36.241759399999864,36.24180979997618,36.25496629998088,36.25496629998088,36.25496629998088,42.776074499997776,908,1,[6.5319439000450075],[6.5319551000138745],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,0,6,6,5,42.79145570000401,,42.77692350000143,42.79145570000401,43.79155769996578,43.79155769996578,43.79155769996578,44.32674569997471,space,0.5301570000010543,None,44.327360499999486,45.0414305666384,45.36245679995045,45.353837799979374,45.353857499954756,45.36245679995045,45.36245679995045,45.36245679995045,51.8914466999704,576,1,[6.536147799983155],[6.536156599991955],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,0,7,7,3,51.906427199952304,,51.89224389998708,51.906427199952304,52.906350799952634,52.906350799952634,52.906350799952634,53.47573740000371,space,0.5655258999904618,None,53.4766246000072,53.58933216665561,53.90493439999409,53.89161890000105,53.89167549996637,53.90493439999409,53.90493439999409,53.90493439999409,58.939320499950554,349,1,[5.045586300024297],[5.045594099967275],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,0,8,8,10,58.954693599953316,,58.93999789998634,58.954693599953316,59.954677899950184,59.954677899950184,59.954677899950184,60.523996599949896,space,0.5612382999970578,None,60.524801399966236,60.93764536665209,61.24495769996429,61.23085599998012,61.23090259998571,61.24495769996429,61.24495769996429,61.24495769996429,64.77134519995889,586,1,[3.538474300003145],[3.5384824000066146],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,0,9,9,7,64.78663039999083,,64.77196529996581,64.78663039999083,65.7866420999635,65.7866420999635,65.7866420999635,66.65573989995755,space,0.8538493000087328,None,66.6567006999976,67.06991016667259,67.38634999998612,67.37202690000413,67.37208269996336,67.38634999998612,67.38634999998612,67.38634999998612,69.43681709998054,984,1,[2.0627818999928422],[2.0627885999856517],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
